Ano,Cor,Nº Questão,Gabarito,Sigla da Área,Área,Língua,Habilidade,Item Abandonado,Motivo Abandono,Item Adaptado,Parâmetro A,Parâmetro B,Parâmetro C,Itens,Provas,Versão Digital
2014,Amarelo,57,D,CN,Linguagens e Códigos,,13,0,,,1.32244,1.48152,0.11328,8319,200,
2014,Amarelo,58,B,CN,Linguagens e Códigos,,15,0,,,2.58594,0.84758,0.25747,41012,200,
2014,Amarelo,59,C,CN,Linguagens e Códigos,,22,0,,,1.03867,312.0,0.11225,33083,200,
2014,Amarelo,60,B,CN,Linguagens e Códigos,,24,0,,,1.87352,1.97033,0.19883,44477,200,
2014,Amarelo,61,D,CN,Linguagens e Códigos,,25,0,,,0.9927,0.87414,0.04118,59726,200,
2014,Amarelo,62,E,CN,Linguagens e Códigos,,12,0,,,0.82663,1.06465,0.00558,48313,200,
2014,Amarelo,63,A,CN,Linguagens e Códigos,,21,0,,,1.16337,1.38241,0.12073,16671,200,
2014,Amarelo,64,D,CN,Linguagens e Códigos,,16,0,,,2.74071,1.53304,0.14775,23205,200,
2014,Amarelo,65,C,CN,Linguagens e Códigos,,6,0,,,3.01003,0.95877,0.18229,39365,200,
2014,Amarelo,66,D,CN,Linguagens e Códigos,,26,0,,,1.76036,0.97713,0.09657,39367,200,
2014,Amarelo,67,B,CN,Linguagens e Códigos,,18,0,,,2.47553,1.19448,0.12259,41247,200,
2014,Amarelo,68,E,CN,Linguagens e Códigos,,19,0,,,1.36108,0.57513,0.07569,48301,200,
2014,Amarelo,69,B,CN,Linguagens e Códigos,,29,0,,,1.9749,0.9016,0.18224,43414,200,
2014,Amarelo,70,C,CN,Linguagens e Códigos,,5,0,,,2.2501,1.58493,0.18067,37142,200,
2014,Amarelo,71,B,CN,Linguagens e Códigos,,24,0,,,4.94938,1.96591,0.17837,7222,200,
2014,Amarelo,72,D,CN,Linguagens e Códigos,,25,0,,,2.59396,2.34787,0.16309,40364,200,
2014,Amarelo,73,C,CN,Linguagens e Códigos,,14,0,,,3.50522,0.66203,0.15933,39933,200,
2014,Amarelo,74,B,CN,Linguagens e Códigos,,28,0,,,1.19827,2.97259,0.28509,59611,200,
2014,Amarelo,75,E,CN,Linguagens e Códigos,,21,0,,,2.18334,2.8549,0.11594,18105,200,
2014,Amarelo,76,E,CN,Linguagens e Códigos,,9,0,,,1.67259,1.62363,0.19088,24554,200,
2014,Amarelo,77,C,CN,Linguagens e Códigos,,17,0,,,2.93715,2.10244,0.21248,25634,200,
2014,Amarelo,78,A,CN,Linguagens e Códigos,,20,0,,,2.17605,2.26688,0.10775,37971,200,
2014,Amarelo,79,B,CN,Linguagens e Códigos,,17,0,,,4.02643,1.07065,0.15747,43785,200,
2014,Amarelo,80,D,CN,Linguagens e Códigos,,18,0,,,2.05475,0.78035,0.16771,13968,200,
2014,Amarelo,81,A,CN,Linguagens e Códigos,,3,1,Não permitiu a convergência do algoritmo de estimação da TRI,,,,,45270,200,
2014,Amarelo,82,B,CN,Linguagens e Códigos,,4,0,,,1.33877,1.75228,0.26349,32724,200,
2014,Amarelo,83,A,CN,Linguagens e Códigos,,1,0,,,2.85384,1.92589,0.14505,26717,200,
2014,Amarelo,84,D,CN,Linguagens e Códigos,,30,0,,,2.32748,1.18738,0.21921,18675,200,
2014,Amarelo,85,B,CN,Linguagens e Códigos,,10,0,,,2.58476,2.04165,0.18553,54893,200,
2014,Amarelo,86,D,CN,Linguagens e Códigos,,23,0,,,2.03602,0.51719,0.17893,24942,200,
2014,Amarelo,87,E,CN,Linguagens e Códigos,,1,0,,,1.01975,1.85878,0.11171,48937,200,
2014,Amarelo,88,D,CN,Linguagens e Códigos,,11,0,,,1.17129,-0.05127,0.21062,37051,200,
2014,Amarelo,89,E,CN,Linguagens e Códigos,,24,0,,,1.83463,0.90174,0.25055,10677,200,
2014,Amarelo,90,A,CN,Linguagens e Códigos,,1,0,,,1.47164,0.80341,0.20215,24555,200,
2014,Amarelo,91,A,LC,Linguagens e Códigos,Espanhol,6,0,,,3.08957,1.36638,0.12934,53032,203,
2014,Amarelo,91,C,LC,Linguagens e Códigos,Inglês,6,0,,,3.1575,0.49268,0.18559,27522,203,
2014,Amarelo,92,A,LC,Linguagens e Códigos,Espanhol,7,0,,,1161.0,1549.0,177.0,11509,203,
2014,Amarelo,92,D,LC,Linguagens e Códigos,Inglês,8,0,,,4.90261,0.82038,0.2478,60784,203,
2014,Amarelo,93,A,LC,Linguagens e Códigos,Inglês,5,0,,,3.22809,1.10415,0.12403,60885,203,
2014,Amarelo,93,D,LC,Linguagens e Códigos,Espanhol,7,0,,,1.6705,0.52911,0.16379,11723,203,
2014,Amarelo,94,C,LC,Linguagens e Códigos,Inglês,7,0,,,3.32775,1.00642,0.16626,59916,203,
2014,Amarelo,94,E,LC,Linguagens e Códigos,Espanhol,5,0,,,3177.0,1007.0,91.0,11907,203,
2014,Amarelo,95,A,LC,Linguagens e Códigos,Inglês,6,0,,,3806.0,1106.0,106.0,7352,203,
2014,Amarelo,95,C,LC,Linguagens e Códigos,Espanhol,6,0,,,2.65452,0.67722,0.16993,61028,203,
2014,Amarelo,96,B,LC,Linguagens e Códigos,,22,0,,,2.38122,0.33432,0.30677,60745,203,
2014,Amarelo,97,C,LC,Linguagens e Códigos,,20,0,,,1.74939,-0.3163,0.02892,47920,203,
2014,Amarelo,98,B,LC,Linguagens e Códigos,,28,0,,,1.83497,0.67432,0.15189,61460,203,
2014,Amarelo,99,C,LC,Linguagens e Códigos,,4,0,,,2.36775,0.57178,0.12678,62056,203,
2014,Amarelo,100,D,LC,Linguagens e Códigos,,27,0,,,3.98193,0.04376,0.19943,31784,203,
2014,Amarelo,101,C,LC,Linguagens e Códigos,,2,0,,,2.19831,-0.14068,0.02494,59816,203,
2014,Amarelo,102,B,LC,Linguagens e Códigos,,26,0,,,2.99478,1.22235,0.18701,16998,203,
2014,Amarelo,103,E,LC,Linguagens e Códigos,,11,0,,,1123.0,0.25,179.0,12273,203,
2014,Amarelo,104,B,LC,Linguagens e Códigos,,10,0,,,2.03786,0.03099,0.17159,32467,203,
2014,Amarelo,105,C,LC,Linguagens e Códigos,,15,0,,,2.01631,0.18152,0.20755,24381,203,
2014,Amarelo,106,E,LC,Linguagens e Códigos,,22,0,,,3.83603,0.59625,0.15047,30307,203,
2014,Amarelo,107,C,LC,Linguagens e Códigos,,24,0,,,1.5,2151.0,167.0,7100,203,
2014,Amarelo,108,D,LC,Linguagens e Códigos,,30,0,,,2.32016,0.60535,0.15718,43799,203,
2014,Amarelo,109,E,LC,Linguagens e Códigos,,29,0,,,3.80183,0.58005,0.18152,43584,203,
2014,Amarelo,110,B,LC,Linguagens e Códigos,,25,0,,,2.70478,0.57347,0.13384,55334,203,
2014,Amarelo,111,A,LC,Linguagens e Códigos,,12,0,,,1.91305,1.80463,0.15861,27450,203,
2014,Amarelo,112,C,LC,Linguagens e Códigos,,14,0,,,1243.0,-0.53194,0.0183,24253,203,
2014,Amarelo,113,A,LC,Linguagens e Códigos,,17,0,,,0.30081,4.17509,0.20994,25951,203,
2014,Amarelo,114,E,LC,Linguagens e Códigos,,23,0,,,3.3142,0.66591,0.15685,62744,203,
