NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025;Q026;Q027
180007186625;2018;2;F;0;4;1;2;0;4;1;0;1500800;Ananindeua;15;PA;4;1;1;1500800;Ananindeua;15;PA;1;1;1;1;449;454;457;462;534.2;611.4;517.9;496.3;BABDABEECDBDCBCAAAEDCEDDEADADEACABEEBABCABADC;CBAEACBBADABADEDDCDABBEAEEBBDDCECBECDABADDEEA;99999BDAECEBACECBBBBEBBDABDAAAADECCCDADBCCBBAACECA;CCDAECBEBDAACDACABADECBDAADACBEDDAACBEABABDCD;1;EBBEBACEDDEDDCBCCACBDDDAECAADBCEABEAEABDBCACE;CDECAABBDDECBEEDBEBBEBEDEEEBCEAEECECCDBDDCACD;CBEDBBBDCBECADBBBECBEAECABDADACDBABCECBBEDADABECED;ADCACEDDABEBBCBCADDACCCDEBBDAEEDBEXBCAEDABADA;1;120;40;40;120;40;360;E;E;D;D;2;F;A;C;D;A;A;A;B;A;A;B;A;B;C;B;B;D;B;C;B;B;D
180007186627;2018;3;F;0;4;1;1;1;1;1;0;;;;;;;;1503200;Igarapé-Açu;15;PA;1;1;1;1;447;454;457;459;506.9;477.8;495.3;440.6;BADEBBDBDECBADCCDCEDAEDBBEDCABEAECABCAEEAEACE;BEDBBDBCCABDADABAEDDBAABCDACBECCEACABAEAAAEAB;CDEBB99999ABADBBBEBDEBBADCDBCBDDCECDDAECAACDAACBCE;AEECACDEECDBBEEEABBEADDAADCEAEAEDCEBCDABDADEA;0;BDDEDBCACEBCCACDCDDAECAADBDBCEEAEAABEBEBBACED;CDECAABBDDECBEEDBEBBEBEDEEEBCEAEECECCDBDDCACD;CBEDBBBDCBECADBBBECBEAECABDADACDBABCECBBEDADABECED;ACEADCEBBDADAAEBBDDEDABADBEXCCCDBCAEEACBCDDAB;1;140;40;40;160;40;420;D;E;A;A;4;B;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;A;A;A
180007186628;2018;3;M;0;0;1;2;0;2;1;0;3155603;Rio Pardo de Minas;31;MG;2;1;1;3155603;Rio Pardo de Minas;31;MG;1;1;1;1;449;453;458;462;470.6;473.8;534.4;410.4;CEEEEDBDACBBDADABCCCBDBBEBCEDEAACBACEEEBEBBEE;ECBDABEADCECAEAEECBCBDEABCDEADCBBCDAECDDBDABC;ECBDB99999CBDDCEABEABDBDEEECCCDDCCCDBDBBAAECBCADBD;BCAAACEBDCDBACADEABACCBDADADBDBCDCDABBDCBCDCB;0;EBBEBACEDDEDDCBCCACBDDDAECAADBCEABEAEABDBCACE;ECCBBEBEDBEDBDDAEECDECBECACDEDEECDECAABBDEBCE;BCDEBDBCBBACDCBEAECBABADBBECECBDBBEABDADACEDECABED;ADCACEDDABEBBCBCADDACCCDEBBDAEEDBEXBCAEDABADA;1;120;120;100;120;140;600;B;B;A;A;7;B;A;B;D;B;B;B;A;A;A;A;A;A;B;B;A;D;A;A;A;B;A
180007186629;2018;2;F;0;3;1;2;0;4;1;0;1500800;Ananindeua;15;PA;4;1;1;1500800;Ananindeua;15;PA;1;1;1;1;450;452;456;461;588.9;663.3;614.5;711.5;AAEBECBAEAECEBAABADCDBDCDBAEDACBCDCDDCDEEBBEC;ACADBCEBDAACCDAEBEEDBDDDBEECDACAABDAABABEBECC;99999CBBEBDBCEDDCAAEDAEAEABEDCABBBCCDCDDDDCACEAEEB;DABDACDCD*ACCDDBBDADEABBEEADAECABADBDDA*CDAEA;1;ACEDEAEAEBECAADABBDBCEDEDDCDDABCCACBCACEBDEBB;AEECDECBEBDCACDEDEEDBDDEBCECDECAABEDBEBBEBECC;BBEDCCBBDBBBEADECACEDBEADABEDBABAECCBEABDDBACDCECB;EBBDEECCCDACEADCBCAAEBBCBCADAEDABADDADDABDBEX;1;160;160;180;180;120;800;F;F;D;D;4;I;A;B;D;A;A;B;A;B;A;A;A;A;C;A;B;D;B;A;B;B;B
180007186631;2018;11;F;0;5;1;1;6;1;1;0;;;;;;;;2610905;Pesqueira;26;PE;1;1;1;1;448;452;456;460;477.8;621.5;519.4;543.1;ADEEEEEBDCBBBBCAACCCEEEDDACCCDBDAACCACBACECDC;AACCCEEADEEACEBBBEECCCBEBCECDDDAEAEDEEABEDECB;99999CDEDDDDBADDCBEBBBBBBDCDCBBDEEDADEDBDDDEBCCDCC;ACCABCCBBDAEDDCBEEEEEDECECABBDCECCECDDABEADDA;1;BCACEEBBBDACEDECAADDDABDBCCACDCBCEDEDABEBEAEA;AEECDECBEBDCACDEDEEDBDDEBCECDECAABEDBEBBEBECC;BBEDCCBBDBBBEADECACEDBEADABEDBABAECCBEABDDBACDCECB;ADAEDABBCAADBEXEBBDEEADCCCCDACEDDABCBCAAEBBDD;1;120;120;120;100;40;500;A;E;A;A;3;C;A;B;C;A;B;B;A;A;A;A;A;A;B;B;A;C;A;B;A;A;A
180007186632;2018;2;F;0;3;1;2;0;2;1;0;3161106;São Francisco;31;MG;2;1;1;3161106;São Francisco;31;MG;1;1;1;1;447;451;455;459;415.9;485.6;512.5;534.9;DCDBBEABBAECDBBCAEDDCBACDDEACCABADCECBEEADBAB;CDCCAEAECBBAAEBBCDECBEBCDBECECBBEBACAAECABBDA;CCEBD99999CDEBDBABCAABDECDBBCDECAEDBACCCDBDDAACDAE;BDCCDBDABECEDADBEBDACBCABDCCEABACBCCEBBDEEADB;0;BDDEDBCACEBCCACDCDDAECAADBDBCEEAEAABEBEBBACED;CACDDBDDECCEDEEEBCEAEECBBEBEDBEDECBEBDCAABCDE;BBDECBBCDBCECBABDBEDACDDBBBEADECACEDBEBABCBEAECADA;ACEADCEBBDADAAEBBDDEDABADBEXCCCDBCAEEACBCDDAB;1;120;120;100;120;80;540;E;E;D;B;3;D;A;B;C;B;A;B;A;A;A;A;A;A;B;B;A;D;A;A;B;B;B
180007186633;2018;13;F;1;1;1;1;12;1;1;0;;;;;;;;3303500;Nova Iguaçu;33;RJ;1;1;1;1;450;451;455;461;518.5;595.7;454;406.4;BCDEEBCAEACBDEDCBEBACCDDAAEEDCADBDEECBDBCDECA;EDACDCBAEBECBAEAEEECADCABBEEEAEACAEDAACABBCEE;99999BCEDBDBBCCDCCDDEADEDABEEAADEECDDCADDAADEACAAB;DBEBCCACDEACDBCAEBCDECABECDADCAECEECACEDDBDDC;1;ACEDEAEAEBECAADABBDBCEDEDDCDDABCCACBCACEBDEBB;CACDDBDDECCEDEEEBCEAEECBBEBEDBEDECBEBDCAABCDE;BBDECBBCDBCECBABDBEDACDDBBBEADECACEDBEBABCBEAECADA;EBBDEECCCDACEADCBCAAEBBCBCADAEDABADDADDABDBEX;1;120;40;40;120;20;340;E;C;C;A;3;B;A;B;B;A;A;B;A;A;A;B;A;A;B;A;B;C;A;B;B;A;A
180007186634;2018;12;F;0;1;1;1;12;1;1;0;;;;;;;;4211900;Palhoça;42;SC;1;1;1;1;450;454;457;461;601.7;675.5;631.3;524.8;ABBCEACCECEEADDCBEDBACDDDAAEBEDABBEDCACEEBACB;CAECAABAAAECAEEDAEABEBEACEABECCCEAECCDBDAACCD;99999EBECEACECEBAAABEBECDBDADDBDCABCECBBABADABECCD;DDBADECEDABDDCDBACEEEACDBDCCEACBCDCABDEDABCEC;1;ACEDEAEAEBECAADABBDBCEDEDDCDDABCCACBCACEBDEBB;CDECAABBDDECBEEDBEBBEBEDEEEBCEAEECECCDBDDCACD;CBEDBBBDCBECADBBBECBEAECABDADACDBABCECBBEDADABECED;EBBDEECCCDACEADCBCAAEBBCBCADAEDABADDADDABDBEX;1;180;160;160;100;120;720;B;E;D;B;2;F;A;C;C;B;A;B;B;B;A;B;A;B;C;B;A;C;B;B;B;A;A
180007186635;2018;4;F;0;3;1;1;2;1;1;0;;;;;;;;3127701;Governador Valadares;31;MG;1;1;1;1;447;454;457;459;577.5;557.9;464.5;535.1;ADCECCCBCEEACAACBAEDEBABCCBBCAACEEAAEAEBBABBE;AEBBADBEDEEBADBBEECAEDCDEEADCEBACBDABCCEAABEC;99999BADEEAAADCADABAABCAABEEDBBECCDCDEECBCDBEBBACB;ABEDDDBBAADAECEBCCDCADEADBDCCBADCAEBEDDDDEECD;1;BDDEDBCACEBCCACDCDDAECAADBDBCEEAEAABEBEBBACED;CDECAABBDDECBEEDBEBBEBEDEEEBCEAEECECCDBDDCACD;CBEDBBBDCBECADBBBECBEAECABDADACDBABCECBBEDADABECED;ACEADCEBBDADAAEBBDDEDABADBEXCCCDBCAEEACBCDDAB;1;120;140;120;140;160;680;D;D;B;B;3;A;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;D;A;A;A;A;A
180007186636;2018;12;M;0;1;1;1;3;1;;0;;;;;;;;3304557;Rio de Janeiro;33;RJ;1;1;1;1;447;452;456;459;494.8;539.6;527.3;601.4;EDDDDECBECAABCCBBDACABADECEECAAABEABBADEEBBEE;EAACDEBBEBDEDACADECCCAEEDCDCACDCBBDBDDBAACBCA;99999CCEDDDBCE*ACAEEDACBDBCACBCCBADADECBCDCDAECDEE;ACEDDBACBEEDDAEABBDCBAB*ADEBDCBBBACDBEBCBDCBA;1;BDDEDBCACEBCCACDCDDAECAADBDBCEEAEAABEBEBBACED;AEECDECBEBDCACDEDEEDBDDEBCECDECAABEDBEBBEBECC;BBEDCCBBDBBBEADECACEDBEADABEDBABAECCBEABDDBACDCECB;ACEADCEBBDADAAEBBDDEDABADBEXCCCDBCAEEACBCDDAB;1;120;120;120;120;100;580;F;E;D;B;4;C;A;B;C;A;A;B;A;B;A;A;A;A;B;A;B;C;B;B;B;A;B
