NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;IN_CERTIFICADO;NO_ENTIDADE_CERTIFICACAO;CO_UF_ENTIDADE_CERTIFICACAO;SG_UF_ENTIDADE_CERTIFICACAO;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025;Q026;Q027;Q028;Q029;Q030;Q031;Q032;Q033;Q034;Q035;Q036;Q037;Q038;Q039;Q040;Q041;Q042;Q043;Q044;Q045;Q046;Q047;Q048;Q049;Q050;Q051;Q052;Q053;Q054;Q055;Q056;Q057;Q058;Q059;Q060;Q061;Q062;Q063;Q064;Q065;Q066;Q067;Q068;Q069;Q070;Q071;Q072;Q073;Q074;Q075;Q076
140000000001;2014;3;F;0;1;1;1;2013;1;1;;;;;;;;;;;;3548708;SAO BERNARDO DO CAMPO;35;SP;1;1;1;1;199;195;203;207;536.9;570.2;576.1;478.3;EABDEADABDECBDEEADEDBCEBDEABEADCDCDBBEADBADEC;BCBDAAADCAAEEBACACCAAEBAAEBEBCAEBCADBEAACCDAA;CADCCBCBCDCBDBCEBDEBCAAEACCDBDEAABBEABAEBBBAE;ABAAECBBCABECDBBECAEDEADDAEACCABCDCBACEADBBDA;0;ADBDDADABCDCBDCBEECABAEEDEADDBCBDBEBABEDEACDC;ECBDADADECAABBECBCCEADBABDEECAADECEDCEBDBABCA;CDACAAADECBCBCDCBEBCECDEBACAEBDCDEDBCABBCBCDABDADD;DDCDEECBBEDBBDABBCCBCCEDEAECAEADDCDAABABDCECA;7;120;120;120;120;80;560;B;E;E;4;A;B;C;B;A;A;A;A;A;D;A;A;A;A;A;D;B;A;3;4;4;5;4;5;3;B;A;A;B;A;A;A;A;B;B;15;E;5;0;4;4;5;B;A;B;A;A;B;B;;;;;;;;;;;;;;;;;;;;;;;
140000000002;2014;9;M;0;2;1;4;;;;;;;;;;;1;SECRETARIA DE ESTADO DE EDUCAÇÃO DE MINAS GERAIS;31;MG;3118601;CONTAGEM;31;MG;1;1;1;1;199;195;203;207;458.2;519.5;525.8;484.2;DACBCAACDCCDEECBACEEAEDADACADECEDBCCACEBABCDB;ECCBDBDDBCBCBBCCACCCBCCDCDEDBCBDCCDEDBACCDEBC;BDECDBCBEDBDEBCADDEDECDBDBCDCDDDAABCCCABBABDB;EBCCEDEEBADACDEBDADCBEBCCDADDBCBCDCABDECCCDBE;1;ADBDDADABCDCBDCBEECABAEEDEADDBCBDBEBABEDEACDC;ECBDADADECAABBECBCCEADBABDEECAADECEDCEBDBABCA;CDACAAADECBCBCDCBEBCECDEBACAEBDCDEDBCABBCBCDABDADD;DDCDEECBBEDBBDABBCCBCCEDEAECAEADDCDAABABDCECA;7;60;40;40;40;60;240;E;C;C;10;C;B;A;A;A;A;A;A;A;D;D;C;D;D;D;D;A;A;5;4;;5;5;5;5;D;A;A;F;B;A;A;A;B;A;16;E;5;5;4;4;1;A;B;B;B;A;B;A;B;;;;;;;;;;A;B;B;B;B;B;A;B;B;B;B;B;D
140000000003;2014;4;M;0;2;1;1;2012;1;1;;;;;;;;;;;;3550308;SAO PAULO;35;SP;1;1;1;1;202;198;203;207;575.9;634.7;541.5;617.6;BADBCEDCBEBDEDECCBBEAAAADAEDDCEDEDCDDCBCDBDEC;ACCDEAABBACBABCEDCAAEDEADECCAEDECBBACCBABBCCE;AEEDABCBEDCCEBCADDCADCAEACDDADEDAABCAEAABDCAD;ACCDEEBB.DCBBDBBEABCECADACDBACEDACCDCCDBDCBDA;1;AEABEDEABEBCBEECCBDEDEADADBDCDCDABCDDAABDBCBD;AABBEAADEADBABCEDBDADDEECECCEADECBDBACBCABCCE;CDACAAADECBCBCDCBEBCECDEBACAEBDCDEDBCABBCBCDABDADD;DDCDEECBBEDBBDABBCCBCCEDEAECAEADDCDAABABDCECA;7;120;120;120;120;120;600;C;H;K;4;D;B;B;A;C;B;D;A;A;A;A;C;A;A;A;D;A;A;5;3;;5;5;5;4;B;A;A;B;A;A;A;A;A;A;16;D;3;0;5;5;5;B;A;B;B;A;B;A;;;;;;;;;;;;;;;;;;;;;;;
140000000004;2014;3;F;0;1;1;1;2013;1;1;;;;;;;;;;;;3550308;SAO PAULO;35;SP;1;1;1;1;200;196;206;210;482.6;475.8;499.7;381.3;DBDACEADCEECBCBDCBDDECEECCABCBECBCECACABCEDCC;AABEDCEBACADDCECEDAACEEEDAABBDBCEDADDEBDBAAEC;DABADCECCCAEDCCEDABCAECABDCBCBEEBEACDBEBDECCD;DCECCCCEADBBCCDCABADCDCDDCADDCECADACDCAEBBDEB;1;DAEDCDCAEABDBCBDEADCDBEBCBDCBEECABDABADBDEDEA;AADEAABBEADBABBDADBCCEECCEDECBCABDBACCEDEADEC;CDACAECAADBDCDCBCACAEBEDBCCDABDCBEBCECABDEBDADDBCB;DCDADDCCECADEAEADBEDBBDACEDCBCBBCEAECABABDECB;7;160;120;120;140;100;640;C;C;C;5;A;B;A;A;A;D;A;D;A;D;A;B;D;D;D;D;A;A;4;4;;2;2;5;5;B;A;A;B;A;A;A;A;A;A;13;E;5;2;3;5;5;B;B;B;B;B;B;B;;;;;;;;;;;;;;;;;;;;;;;
140000000005;2014;14;M;1;1;1;1;2004;2;1;;;;;;;;;;;;2933307;VITORIA DA CONQUISTA;29;BA;1;1;1;1;199;195;206;210;612.6;700.7;596.5;648.2;DDADEDDEACDBBCDBAEEEDAEEAAACABCEDEEBACCDEAECD;EBAAADADECAABBACBCCEAEBADDEEBAADBCBDCABABABCA;EEDADBECDCBCBCCEDCDBDCDDBDCBEBCEDABCEBDBABBAC;DDCEEBCCECAEEDCCCBCEAACACEDDEEDDCCCCEABAEE.BB;1;ADBDDADABCDCBDCBEECABAEEDEADDBCBDBEBABEDEACDC;ECBDADADECAABBECBCCEADBABDEECAADECEDCEBDBABCA;CDACAECAADBDCDCBCACAEBEDBCCDABDCBEBCECABDEBDADDBCB;DCDADDCCECADEAEADBEDBBDACEDCBCBBCEAECABABDECB;7;160;120;120;160;20;580;B;E;F;4;A;B;B;A;A;B;A;A;A;D;D;B;A;A;D;D;B;A;5;4;;5;5;4;0;A;A;C;B;A;C;B;A;B;A;18;D;5;5;5;5;5;B;A;A;B;A;A;B;;;;;;;;;;;;;;;;;;;;;;;
140000000006;2014;12;F;0;3;1;1;2004;1;1;;;;;;;;;;;;3302007;ITAGUAI;33;RJ;1;1;1;1;199;195;204;208;552.7;587.3;538.7;489.3;DAABEEDABDDCBDBEAAEABCEECEADDCCBEEEEDADEEBBCD;EBAAAEADBCAADBDECCCEAEBACAEEBBADDABBDEECACEBA;BAEDDBAADEACEDEABEBCBAEBBCCAEDCBEAACDDADCDCEC;CACCDEBBCACBBDBCDAAADEBCABDCACBAAAABBBEDACCBB;0;ADBDDADABCDCBDCBEECABAEEDEADDBCBDBEBABEDEACDC;ECBDADADECAABBECBCCEADBABDEECAADECEDCEBDBABCA;ACACDDECAABDADDDCDCDABEBCBCBECACAEBDEBABEDBCDCBCBC;CECACBCABABDBDADCDAEAECBBCAEADBEDBECBDECEDDDC;7;120;120;80;120;100;540;B;C;C;3;A;B;A;A;D;A;D;A;A;D;A;A;D;D;A;D;A;B;4;5;;5;1;5;5;B;A;A;B;A;A;A;B;B;A;18;E;5;5;5;5;5;A;A;A;A;A;B;A;;;;;;;;;;;;;;;;;;;;;;;
140000000007;2014;6;M;0;3;1;1;2009;1;1;;;;;;;;;;;;3509502;CAMPINAS;35;SP;1;1;1;1;200;196;204;208;595.9;680.4;604.8;660.4;EAECBCBCADAEBBDEEABCDEEBCADCEDCDBEDABEDBDCADA;AADEAAEBCAEBABCDACBCCEEECADEBEEABDBACCEDBADEC;DECEABEADDBDCBDCBECCBEDABACCEBDEBABBDDDDCBCBC;CDCECDDABDBBADABCCBBDCBDDCBDBABCABACBDECBEDBC;1;DAEDCDCAEABDBCBDEADCDBEBCBDCBEECABDABADBDEDEA;AADEAABBEADBABBDADBCCEECCEDECBCABDBACCEDEADEC;ACACDDECAABDADDDCDCDABEBCBCBECACAEBDEBABEDBCDCBCBC;CECACBCABABDBDADCDAEAECBBCAEADBEDBECBDECEDDDC;7;120;120;120;120;120;600;I;D;C;3;C;B;A;A;A;A;D;D;A;D;D;B;A;D;D;D;A;B;5;3;;5;5;5;3;B;A;A;B;A;A;A;A;B;B;18;D;5;5;5;5;5;A;B;A;B;A;B;B;;;;;;;;;;;;;;;;;;;;;;;
140000000008;2014;13;M;0;1;1;1;2004;1;1;;;;;;;;;;;;2307304;JUAZEIRO DO NORTE;23;CE;1;1;1;1;199;195;204;208;581.5;597;535.7;516.1;DCEDDADECCDECACEACDCEECECBCDDBCCDDCCBCCDCDCCC;EBADACBBECAAABCCECCDACBCDEEEDCDBCCEDECBDDCBAA;CDECBCBEDDBCDBEBBEBBBEECCDCDEDDEEACDDCCDADCEE;CDEBDEBAEBDBDDBEDCBBCCCBEABCBCBACDDCCDBDCDBBC;0;ADBDDADABCDCBDCBEECABAEEDEADDBCBDBEBABEDEACDC;ECBDADADECAABBECBCCEADBABDEECAADECEDCEBDBABCA;ACACDDECAABDADDDCDCDABEBCBCBECACAEBDEBABEDBCDCBCBC;CECACBCABABDBDADCDAEAECBBCAEADBEDBECBDECEDDDC;7;120;120;120;120;60;540;B;B;C;1;A;B;A;A;A;A;A;D;A;D;A;A;A;D;D;D;A;B;5;5;;5;5;5;5;B;A;A;B;A;A;A;A;B;A;18;E;3;5;5;5;5;B;A;B;B;A;B;B;;;;;;;;;;;;;;;;;;;;;;;
140000000009;2014;4;M;0;1;1;1;2012;1;1;;;;;;;;;;;;3103504;ARAGUARI;31;MG;1;1;1;1;199;195;203;207;518.8;569.8;561;623.2;DEDDEACDCBDABADEADCEDAEEBEEAABABCBDEECCDBAECE;ECEDACADBCAACBBCBCCBDCADDDBBADEDBCBADCEADDEEC;BEDACBCACDCBEDAEBABBDCABDACEBDBDABBACDDDDEADD;DACEECABBECAEDABAAECECCBADEBAECECCADABDBCCCED;1;ADBDDADABCDCBDCBEECABAEEDEADDBCBDBEBABEDEACDC;ECBDADADECAABBECBCCEADBABDEECAADECEDCEBDBABCA;CDACAAADECBCBCDCBEBCECDEBACAEBDCDEDBCABBCBCDABDADD;DDCDEECBBEDBBDABBCCBCCEDEAECAEADDCDAABABDCECA;7;140;140;120;120;120;640;E;G;F;3;D;B;B;A;A;B;A;A;A;A;A;C;B;D;D;D;C;C;5;5;;5;5;5;5;B;;;B;;;A;A;B;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
140000000010;2014;13;M;1;1;1;1;2004;1;1;;;;;;;;;;;;3550308;SAO PAULO;35;SP;1;1;0;0;201;197;203;207;506.8;650.9;;;EBCCCCCDDEAADCECADBBCBCDAACCBEBAAEEEABDEAEEBE;BDECECBCCECAEBBEBEBAABAAECEDBBAEDECDADBBEAACE;.............................................;.............................................;1;EDEADBCBDADBDCDCDABABEADECBEBCBDCBEABCDAEEDDA;ADECECBCCECAABBEBCABDBAECCEDEBDADCEDADBABAADE;;;6;0;0;0;0;0;0;I;E;C;2;D;B;A;D;A;A;D;A;A;D;D;A;A;D;D;D;A;B;0;0;;3;5;5;0;C;A;A;B;A;A;A;B;B;A;18;B;0;0;5;5;5;B;B;A;B;A;B;B;;;;;;;;;;;;;;;;;;;;;;;
140000000011;2014;7;F;0;1;1;1;2010;2;1;;;;;;;;;;;;5300108;BRASILIA;53;DF;1;1;1;1;200;196;203;207;657;693.5;647.4;660.6;DAEEEDCAEEBACCBDBCACDEEBACDCEADBABCDBDDBDECEA;AADAAABBEADBADCCADBCCEECCBDEBBEAACBACCCDEEDEC;CDBAABCBCDCBEBCEDDEBBCAEBECCDDBCABBEBEDABDADD;BDCABEBBCADCDDADADEEECBDBDABAEABCDEBADABDCCCD;0;DAEDCDCAEABDBCBDEADCDBEBCBDCBEECABDABADBDEDEA;AADEAABBEADBABBDADBCCEECCEDECBCABDBACCEDEADEC;CDACAAADECBCBCDCBEBCECDEBACAEBDCDEDBCABBCBCDABDADD;DDCDEECBBEDBBDABBCCBCCEDEAECAEADDCDAABABDCECA;7;160;160;120;160;120;720;E;H;H;3;A;A;B;A;C;A;B;A;A;A;A;C;A;B;A;D;C;B;5;5;;5;5;0;5;B;A;C;B;A;C;B;A;B;A;19;A;3;0;5;5;0;B;A;A;A;B;B;B;;;;;;;;;;;;;;;;;;;;;;;
140000000012;2014;9;F;0;1;1;1;2007;1;1;;;;;;;;;;;;4314407;PELOTAS;43;RS;1;1;1;1;199;195;205;209;448.9;556.8;549.1;545;DEDABDEAEBCEDBDBAECCACAABAADDEDEEEEEDBDDEBAEE;CCDDADADBCADABCCBEAAABAACABEBCADEAAAAEBDDCEBC;ABABCBDBCEBBBDCDBCCADCDAACEBDCCCCEDAEDCBDBDDB;EBEDCCAADEABCBDECCDBCDBADCBBAEDCEEDCAECDAACEE;1;ADBDDADABCDCBDCBEECABAEEDEADDBCBDBEBABEDEACDC;ECBDADADECAABBECBCCEADBABDEECAADECEDCEBDBABCA;ACACDDAAECBEBCDADDDCBBCBEDBCABDEBDCDACAEBECCBCCDAB;ECBDCDADEAEADBEDBBDAEAECCBCBBCCEDDDCCECAABABD;7;120;120;100;100;60;500;B;C;E;4;A;B;B;A;A;A;A;D;A;D;D;C;A;A;A;D;B;A;5;5;;5;5;5;5;B;A;A;B;A;A;A;A;A;A;18;E;5;5;5;5;5;A;A;A;B;A;A;A;;;;;;;;;;;;;;;;;;;;;;;
140000000013;2014;5;F;0;1;1;1;2012;1;1;;;;;;;;;;;;3304557;RIO DE JANEIRO;33;RJ;1;1;1;1;201;197;205;209;503.3;619;553.2;568.3;EDDAAEECDDADDECDDEBBCBBAAAEDECCCEEEBECABAECCA;ADECECBACCBAABBACCACCCCACDADEDDABCEDACBAACCDB;ADECDBEBCEAAEDCCCEECDDCABDBEACCDCAADCCCBCBEAE;EBBADCCAEEDCCCEABADBBCAADEEECCEADECCCEACECDDB;0;EDEADBCBDADBDCDCDABABEADECBEBCBDCBEABCDAEEDDA;ADECECBCCECAABBEBCABDBAECCEDEBDADCEDADBABAADE;ACACDDAAECBEBCDADDDCBBCBEDBCABDEBDCDACAEBECCBCCDAB;ECBDCDADEAEADBEDBBDAEAECCBCBBCCEDDDCCECAABABD;7;120;120;80;80;120;520;D;I;B;3;A;B;B;A;A;A;D;D;A;D;D;C;A;D;D;D;A;B;5;4;;5;2;3;3;B;A;A;B;A;A;A;A;B;B;18;E;5;2;5;5;5;B;B;B;B;A;B;B;;;;;;;;;;;;;;;;;;;;;;;
140000000014;2014;15;M;3;3;1;1;2004;2;1;;;;;;;;;;;;2211001;TERESINA;22;PI;0;0;0;0;199;195;203;207;;;;;.............................................;.............................................;.............................................;.............................................;0;;;;;6;0;0;0;0;0;0;I;I;H;4;D;B;B;A;B;A;D;A;A;A;A;C;A;A;D;D;B;A;0;0;;5;3;2;3;B;A;C;B;A;C;A;A;A;A;18;E;0;5;5;5;5;A;B;A;A;A;A;A;;;;;;;;;;;;;;;;;;;;;;;
140000000015;2014;12;F;2;2;1;1;2004;1;2;;;;;;;;;;;;4315602;RIO GRANDE;43;RS;0;0;0;0;199;195;203;207;;;;;.............................................;.............................................;.............................................;.............................................;0;;;;;6;0;0;0;0;0;0;A;B;C;4;D;B;A;A;D;D;D;A;A;D;D;A;D;D;D;D;A;B;5;5;;5;2;4;0;D;A;A;A;A;A;A;A;A;A;23;E;0;5;5;5;5;A;B;B;A;A;B;B;;;;;;;;;;;;;;;;;;;;;;;
140000000016;2014;12;F;2;3;1;1;2013;1;2;;;;;;;;;;;;2927408;SALVADOR;29;BA;1;1;1;1;202;198;206;210;416.9;452.8;452.9;0;CBDCBCCBAEBDEACDEAEACBABCABDDEAADCBECABDBCBEA;CBBEACEBEADEBACABDEBABEECBCDEACDEDBACABCBBAAE;DACADAEDBCADAADECAEEDBEABDCEEACABEBABC.......;.............................................;0;AEABEDEABEBCBEECCBDEDEADADBDCDCDABCDDAABDBCBD;AABBEAADEADBABCEDBDADDEECECCEADECBDBACBCABCCE;CDACAECAADBDCDCBCACAEBEDBCCDABDCBEBCECABDEBDADDBCB;DCDADDCCECADEAEADBEDBBDACEDCBCBBCEAECABABDECB;1;0;0;0;0;0;0;C;E;C;4;A;B;A;A;A;D;D;D;A;D;D;A;A;A;D;D;A;B;5;3;;5;3;5;2;C;A;A;E;E;A;A;B;B;A;14;E;0;4;5;5;5;A;A;B;B;A;B;A;;;;;;;;;;;;;;;;;;;;;;;
140000000017;2014;10;F;1;3;1;1;2006;1;1;;;;;;;;;;;;5002704;CAMPO GRANDE;50;MS;1;1;1;1;201;197;203;207;404.9;556.9;561.3;448.8;ACECEBDECEADEABAEDBDECBABEECEBECCECEDCDDBEDAE;ADBCEBACCBCAAEAEBEACBACBDCBABBCAEEAEEBAADCCEE;ADBCCACBDDCEEBCEDDBBDCEAABCDDDBAABBCCEAEBDEDB;CDBCDCEDBEBADDCBCCEEBDCABDEACAAAABCDBACACCDCE;0;EDEADBCBDADBDCDCDABABEADECBEBCBDCBEABCDAEEDDA;ADECECBCCECAABBEBCABDBAECCEDEBDADCEDADBABAADE;CDACAAADECBCBCDCBEBCECDEBACAEBDCDEDBCABBCBCDABDADD;DDCDEECBBEDBBDABBCCBCCEDEAECAEADDCDAABABDCECA;7;140;120;120;100;120;600;E;E;C;3;A;B;B;A;A;A;B;A;A;D;A;C;A;A;A;D;C;B;3;5;;5;5;5;5;B;A;B;B;A;A;A;A;B;A;20;E;2;2;5;5;5;A;B;A;A;A;B;B;;;;;;;;;;;;;;;;;;;;;;;
140000000018;2014;11;M;0;0;1;1;2006;2;1;;;;;;;;;;;;2918407;JUAZEIRO;29;BA;1;1;1;1;199;195;206;210;675.3;646.8;566.5;869;AEBDBDDCCCDABEEBACCDBAEE*AAADBCDDBEBEBCDEADDC;ECADABADECAABBBCBCCDACBCDDEECADCECADBDBAACACA;CDBCCBECDCBCBCBEACDEBDEABDCDCBBEBABABCEAACBBA;DCBADDCCECADEABADBCEBBDACEDCBACACEAEAABABDECB;0;ADBDDADABCDCBDCBEECABAEEDEADDBCBDBEBABEDEACDC;ECBDADADECAABBECBCCEADBABDEECAADECEDCEBDBABCA;CDACAECAADBDCDCBCACAEBEDBCCDABDCBEBCECABDEBDADDBCB;DCDADDCCECADEAEADBEDBBDACEDCBCBBCEAECABABDECB;7;160;160;140;180;180;820;H;H;E;5;A;A;C;B;A;B;A;A;A;A;A;A;A;A;A;A;A;B;0;0;;5;5;5;5;B;A;C;B;A;C;A;A;B;A;21;C;1;0;5;5;1;B;A;A;A;B;B;B;;;;;;;;;;;;;;;;;;;;;;;
140000000019;2014;13;F;2;1;1;1;2004;1;1;;;;;;;;;;;;4113700;LONDRINA;41;PR;0;0;0;0;199;195;203;207;;;;;.............................................;.............................................;.............................................;.............................................;1;;;;;6;0;0;0;0;0;0;G;E;F;3;A;B;B;A;B;A;A;A;A;D;A;B;D;D;D;D;A;A;1;1;;5;5;5;5;B;A;A;B;A;A;A;A;B;A;18;E;5;3;5;5;5;A;B;A;B;A;B;B;;;;;;;;;;;;;;;;;;;;;;;
140000000020;2014;5;M;0;1;1;1;2012;1;1;;;;;;;;;;;;4106902;CURITIBA;41;PR;1;1;0;0;199;195;203;207;354.7;456.1;;;DBDCEECECBBADBDDDCEDEDACBABCDDEBEEDACBCEDDCCA;ACADACDDBBDDBEDDEACDBDBEDCEEBEDDBBDECBDEBCDBD;.............................................;.............................................;1;ADBDDADABCDCBDCBEECABAEEDEADDBCBDBEBABEDEACDC;ECBDADADECAABBECBCCEADBABDEECAADECEDCEBDBABCA;;;6;0;0;0;0;0;0;C;D;B;3;D;B;A;D;A;D;D;A;A;D;D;D;D;D;D;A;A;A;3;5;;5;5;5;5;A;A;A;B;A;A;A;A;B;A;15;D;5;4;5;5;5;A;B;B;A;A;B;A;;;;;;;;;;;;;;;;;;;;;;;
140000000021;2014;12;F;1;3;1;1;2011;1;2;;;;;;;;;;;;3170206;UBERLANDIA;31;MG;0;0;0;0;199;195;203;207;;;;;.............................................;.............................................;.............................................;.............................................;1;;;;;6;0;0;0;0;0;0;B;B;E;4;B;B;A;A;A;A;A;A;A;D;A;A;A;D;A;D;A;A;5;5;;5;5;5;5;D;A;A;B;E;A;A;A;A;A;25;E;0;5;5;5;5;A;B;B;B;A;B;B;;;;;;;;;;;;;;;;;;;;;;;
140000000022;2014;4;F;0;3;1;4;;;;;;;;;;;1;SECRETARIA DE ESTADO DE EDUCAÇÃO DO RIO GRANDE DO SUL;43;RS;4316907;SANTA MARIA;43;RS;1;1;1;1;202;198;204;208;355.6;536.9;495.2;474.6;CAEBCBDBECADCBCBACAEBBDBADBEDBACCDEBADBCABBBE;AADBCDEDCAEBCBDAECEBCCBEAEDADECDDBBDCDBAAACCB;BBEDEBEAABECCEAABEBCBEBBBCCDAACACACDABDBDDCBE;CE.EEDBBCAECCDCADAEBCEBCBDACADADCBDCACEEBDBCB;1;AEABEDEABEBCBEECCBDEDEADADBDCDCDABCDDAABDBCBD;AABBEAADEADBABCEDBDADDEECECCEADECBDBACBCABCCE;ACACDDECAABDADDDCDCDABEBCBCBECACAEBDEBABEDBCDCBCBC;CECACBCABABDBDADCDAEAECBBCAEADBEDBECBDECEDDDC;7;120;120;120;100;40;500;G;D;B;5;A;B;A;A;A;D;D;A;A;A;A;A;A;D;D;D;A;B;3;3;;5;3;5;5;A;A;A;F;B;A;A;A;A;A;17;C;5;5;5;5;5;B;B;B;B;B;B;B;B;;;;;;;;;;;;;;;;;;;;;;
140000000023;2014;3;M;0;1;1;1;2013;1;1;;;;;;;;;;;;3306305;VOLTA REDONDA;33;RJ;0;0;0;0;199;195;203;207;;;;;.............................................;.............................................;.............................................;.............................................;1;;;;;6;0;0;0;0;0;0;H;H;B;2;A;B;A;D;D;D;D;A;A;D;D;A;D;D;D;D;A;B;5;5;;3;5;5;5;B;A;A;B;A;A;A;A;B;A;17;E;5;5;5;5;0;B;B;A;A;B;B;B;;;;;;;;;;;;;;;;;;;;;;;
140000000024;2014;13;F;1;1;1;4;;;;;;;;;;;1;SECRETARIA DE ESTADO DE EDUCAÇÃO DE GOIAS;52;GO;5208707;GOIANIA;52;GO;0;0;0;0;199;195;203;207;;;;;.............................................;.............................................;.............................................;.............................................;0;;;;;6;0;0;0;0;0;0;B;B;I;3;B;B;B;A;D;A;B;A;A;D;D;B;A;A;D;D;B;A;5;5;;0;5;0;0;A;A;A;C;B;A;B;B;B;B;14;E;5;5;5;0;0;B;B;B;B;A;B;B;B;;;;;;;;;;A;B;B;B;B;B;A;B;A;B;B;B;C
140000000025;2014;9;F;0;3;1;1;2008;1;1;;;;;;;;;;;;2927408;SALVADOR;29;BA;0;0;0;0;199;195;203;207;;;;;.............................................;.............................................;.............................................;.............................................;1;;;;;6;0;0;0;0;0;0;E;E;F;4;A;B;A;A;A;A;A;A;A;D;A;B;A;D;D;D;A;B;5;5;;5;5;5;5;B;A;A;C;A;D;B;A;B;A;19;B;5;2;5;5;5;A;A;A;B;A;A;A;;;;;;;;;;;;;;;;;;;;;;;
140000000026;2014;5;F;0;3;1;1;2011;1;1;;;;;;;;;;;;1200401;RIO BRANCO;12;AC;1;1;1;1;200;196;206;210;549.7;539.2;537.7;478.2;BEACBEDABECDCBEEDBDCECDBAECCDAEDBBDBABCEDCDEA;DECBDBEEAACBADEDABABCEECCADEEABAAEDCDCEACAEEA;EABEECEADCBCEBDDDEABCCABBDCDEBCEDBBDBDBAAEBEC;DDCDACCCDCDAEEBDAEADEACCDBAEEBBCADCEABBDEBABE;1;DAEDCDCAEABDBCBDEADCDBEBCBDCBEECABDABADBDEDEA;AADEAABBEADBABBDADBCCEECCEDECBCABDBACCEDEADEC;CDACAECAADBDCDCBCACAEBEDBCCDABDCBEBCECABDEBDADDBCB;DCDADDCCECADEAEADBEDBBDACEDCBCBBCEAECABABDECB;7;160;80;80;160;80;560;E;B;D;2;E;B;A;D;D;D;D;A;A;D;D;B;D;D;D;D;A;A;1;5;;5;5;5;5;D;A;A;B;A;A;A;A;A;A;16;D;5;5;5;5;5;A;A;B;A;A;B;A;;;;;;;;;;;;;;;;;;;;;;;
140000000027;2014;6;F;1;1;1;1;2011;1;1;;;;;;;;;;;;5221858;VALPARAISO DE GOIAS;52;GO;1;1;1;1;199;195;205;209;482.9;635.9;576.2;457.1;EACCDACACBDECCEABBDBADCECEAAEBCDCECEEADBEADCE;ECEAACADECAEBAECBCCAACBADDEEDADBEBBCCBBCDCBCC;DDEACBEACEADDDCDBEBCDCCABDBBECDECBADEECEEEEEB;DCAECBBDABDBEBCCCCDCBAEBAECDBCDBBDDBCDCCBCDDA;1;ADBDDADABCDCBDCBEECABAEEDEADDBCBDBEBABEDEACDC;ECBDADADECAABBECBCCEADBABDEECAADECEDCEBDBABCA;ACACDDAAECBEBCDADDDCBBCBEDBCABDEBDCDACAEBECCBCCDAB;ECBDCDADEAEADBEDBBDAEAECCBCBBCCEDDDCCECAABABD;7;140;120;120;120;100;600;D;C;E;1;B;B;A;A;A;A;A;A;A;D;D;A;A;A;A;D;A;A;4;5;;5;5;5;3;A;A;A;B;A;A;A;A;B;B;16;D;3;5;5;5;5;A;B;B;B;A;B;A;;;;;;;;;;;;;;;;;;;;;;;
140000000028;2014;10;F;0;3;1;1;2006;1;1;;;;;;;;;;;;2607901;JABOATAO DOS GUARARAPES;26;PE;1;1;1;1;201;197;205;209;451.2;449.3;429.1;505.3;DDBDECEBEECCABECDBDDCEDADDBBEBCBCACBBDBDABBCA;BDEEEDCEBECABCECBBAEEDDDCEDADECECCBDCEDBEBCEE;EECDCCEBBEBDEEEECCDCEEACEDDDDCEBCDBDCCBEEACCB;DBDCBCECEBCBDBDBEBDDBCABDBBEBCCBCBCECBCBDAABE;1;EDEADBCBDADBDCDCDABABEADECBEBCBDCBEABCDAEEDDA;ADECECBCCECAABBEBCABDBAECCEDEBDADCEDADBABAADE;ACACDDAAECBEBCDADDDCBBCBEDBCABDEBDCDACAEBECCBCCDAB;ECBDCDADEAEADBEDBBDAEAECCBCBBCCEDDDCCECAABABD;7;120;120;80;120;0;440;B;B;C;6;A;B;A;D;A;A;A;D;A;A;A;C;A;D;D;D;A;A;5;3;;5;5;5;5;B;A;A;B;A;A;A;A;A;A;20;E;5;3;5;5;3;A;B;B;B;A;A;A;;;;;;;;;;;;;;;;;;;;;;;
