NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;IN_CERTIFICADO;NO_ENTIDADE_CERTIFICACAO;CO_UF_ENTIDADE_CERTIFICACAO;SG_UF_ENTIDADE_CERTIFICACAO;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025;Q026;Q027;Q028;Q029;Q030;Q031;Q032;Q033;Q034;Q035;Q036;Q037;Q038;Q039;Q040;Q041;Q042;Q043;Q044;Q045;Q046;Q047;Q048;Q049;Q050;Q051;Q052;Q053;Q054;Q055;Q056;Q057;Q058;Q059;Q060;Q061;Q062;Q063;Q064;Q065;Q066;Q067;Q068;Q069;Q070;Q071;Q072;Q073;Q074;Q075;Q076
140000001182;2014;11;M;1;2;1;1;2013;1;2;;;;;;;;;;;;2304400;FORTALEZA;23;CE;0;0;0;0;199;195;203;207;;;;;.............................................;.............................................;.............................................;.............................................;1;;;;;6;0;0;0;0;0;0;I;B;E;4;A;B;B;A;A;A;A;D;A;D;D;B;D;D;D;D;A;A;5;5;;5;3;5;3;B;A;A;E;E;A;A;A;B;A;13;E;0;5;5;5;5;A;B;B;B;B;B;A;;;;;;;;;;;;;;;;;;;;;;;
140000001183;2014;3;F;0;1;1;1;2013;1;1;;;;;;;;;;;;3516309;FRANCISCO MORATO;35;SP;1;1;1;1;201;197;205;209;646.7;611.7;542.3;633.8;DDEACBDDCDDBDCCCDACBBECECCBDBBCACEDEBCDBEECDA;ADECACACCACAABBADEDEAACEBBADDADAECADADBCDAACE;ABCEBECBCBAADDCDBADBDCEABDBBACEBCBADEBCBEEEBC;EBBECCDACABCBBCEBBDCBCEDDEBBCCCACCACDDCDACABB;0;EDEADBCBDADBDCDCDABABEADECBEBCBDCBEABCDAEEDDA;ADECECBCCECAABBEBCABDBAECCEDEBDADCEDADBABAADE;ACACDDAAECBEBCDADDDCBBCBEDBCABDEBDCDACAEBECCBCCDAB;ECBDCDADEAEADBEDBBDAEAECCBCBBCCEDDDCCECAABABD;7;140;120;120;120;80;580;E;E;C;3;A;B;A;A;D;A;D;A;A;D;A;A;A;D;D;D;A;A;3;5;;5;5;5;1;B;A;A;B;A;A;A;A;B;A;17;E;5;0;5;5;1;B;A;B;B;A;B;B;;;;;;;;;;;;;;;;;;;;;;;
140000001184;2014;15;M;1;1;1;4;;;;;;;;;;;1;SECRETARIA DE ESTADO DE EDUCAÇÃO DE MINAS GERAIS;31;MG;3106200;BELO HORIZONTE;31;MG;1;1;1;1;202;198;206;210;541.1;629.1;536.2;587.4;DBCDBDEABBEEEEEEECEEBABCEDDDBECDCCBACAECDCCDC;AABBEAACBAEBCCEEBDDBBEEEBEBCCADECBBDACDCABCCB;EABCBBDCDCEACCAAACDCABDDBDCBEBCADACCECEAABBEC;CDCBBDCCDCDDDDDDDBCDDDDADDDDDBDDCDDDDDDDDDDDB;1;AEABEDEABEBCBEECCBDEDEADADBDCDCDABCDDAABDBCBD;AABBEAADEADBABCEDBDADDEECECCEADECBDBACBCABCCE;CDACAECAADBDCDCBCACAEBEDBCCDABDCBEBCECABDEBDADDBCB;DCDADDCCECADEAEADBEDBBDACEDCBCBBCEAECABABDECB;7;120;160;120;120;80;600;B;B;P;3;B;B;C;B;C;A;B;A;B;B;A;B;A;A;A;A;C;A;4;4;;5;4;4;4;D;D;B;F;E;C;A;A;A;A;15;E;5;5;5;4;5;B;B;B;B;A;B;B;B;;;;;;;;;;A;B;B;B;A;B;A;B;B;B;B;B;D
140000001185;2014;2;M;0;1;1;3;;;;;;;;;;;;;;;3550308;SAO PAULO;35;SP;1;1;1;1;199;195;205;209;504.4;590.7;509.1;426;DEDCBACDABDCABAEDDDCAEBECBDBEDCBDEAECBEDEABCE;ECDDAEADDCAABBBDBACEAEBADEBEAAAADAAABDDACAEAD;CDEAABCBCEEDDDCDBDCBEDDADDDDACECCADDCCCEAAEAE;BADABCEEEDDAEBAABCDDBDADCAAEDCDADAABBDDCBDADC;1;ADBDDADABCDCBDCBEECABAEEDEADDBCBDBEBABEDEACDC;ECBDADADECAABBECBCCEADBABDEECAADECEDCEBDBABCA;ACACDDAAECBEBCDADDDCBBCBEDBCABDEBDCDACAEBECCBCCDAB;ECBDCDADEAEADBEDBBDAEAECCBCBBCCEDDDCCECAABABD;7;120;40;20;100;0;280;B;B;D;4;A;B;B;D;B;A;D;A;A;A;A;A;A;D;D;B;C;A;5;5;;5;5;5;5;B;A;A;F;A;A;A;A;A;A;14;A;1;0;5;5;5;A;B;B;B;A;A;A;;;;;;;;;;;;;;;;;;;;;;;
140000001186;2014;14;M;1;3;1;1;2004;1;1;;;;;;;;;;;;1200401;RIO BRANCO;12;AC;1;1;1;1;201;197;205;209;418;587.9;575.4;407.3;DDBBEBDEDDEABACABAAABBAABECBDEBCACADEDECACDAC;ACACDCACCECAABABAABDDBAEECAEEEDEECAAADBCBAACB;BCCCCBEBCEBADDDBBCEADBCADCEBBCECCCEDEDCDCDEDB;EABBDBEBACCCCBDCCCCDEEEEEBBBCDABBBC*DDCBBEEEA;0;EDEADBCBDADBDCDCDABABEADECBEBCBDCBEABCDAEEDDA;ADECECBCCECAABBEBCABDBAECCEDEBDADCEDADBABAADE;ACACDDAAECBEBCDADDDCBBCBEDBCABDEBDCDACAEBECCBCCDAB;ECBDCDADEAEADBEDBBDAEAECCBCBBCCEDDDCCECAABABD;7;160;160;160;180;140;800;B;A;K;5;B;B;C;A;A;B;A;A;A;D;A;C;A;A;D;D;B;A;5;5;;5;5;5;5;B;A;A;B;A;A;A;A;B;A;14;D;5;5;5;5;5;B;B;A;B;A;B;A;;;;;;;;;;;;;;;;;;;;;;;
140000001187;2014;4;F;0;1;1;1;2012;1;1;;;;;;;;;;;;4314902;PORTO ALEGRE;43;RS;0;0;0;0;199;195;203;207;;;;;.............................................;.............................................;.............................................;.............................................;1;;;;;6;0;0;0;0;0;0;E;E;C;3;B;B;C;B;A;A;D;A;A;D;D;A;D;A;A;D;A;A;5;5;;5;5;5;5;B;A;A;B;A;A;A;A;A;B;18;A;5;2;5;5;5;A;B;B;A;B;B;B;;;;;;;;;;;;;;;;;;;;;;;
140000001188;2014;6;M;0;1;1;1;2011;1;1;;;;;;;;;;;;3550308;SAO PAULO;35;SP;1;1;1;1;199;195;206;210;427.7;471.5;454.7;412.8;CAEBADDADCAEABDEACBCACADDBAEBAEDCEABBCEDABAAD;EBABBEEAECADBBACCDAA*EBDCEAEBBAEBDADDAEBCAACC;CEBCADEABBBACBBEAADAACBEACCDEBADCAACBDCABEBEC;BCCBEBCDEABEBDABDBCAEEDBACCDCBDEACDBADCBCDCAE;1;ADBDDADABCDCBDCBEECABAEEDEADDBCBDBEBABEDEACDC;ECBDADADECAABBECBCCEADBABDEECAADECEDCEBDBABCA;CDACAECAADBDCDCBCACAEBEDBCCDABDCBEBCECABDEBDADDBCB;DCDADDCCECADEAEADBEDBBDACEDCBCBBCEAECABABDECB;7;100;120;80;100;60;460;B;B;F;7;A;B;B;B;D;A;A;A;A;D;A;A;A;D;A;D;A;B;5;5;;5;5;5;5;B;A;A;B;A;A;A;A;A;A;16;D;5;5;5;5;5;A;B;B;B;A;B;A;;;;;;;;;;;;;;;;;;;;;;;
140000001189;2014;11;F;1;3;1;1;2004;1;1;;;;;;;;;;;;1400100;BOA VISTA;14;RR;1;1;1;1;202;198;206;210;419.1;579.9;573.8;537.3;BCAADDEACAEEAAAAAAAAAABBBACBBEEEEABBEAEEAACBC;AABBDDEBDACBCBBAEEDECAEEBECAEABECEBAACCBCBCCA;BAEEDBADECBCBCEEAEDCCDACBDADEBCECADDEBDEDBBEB;EDDDCBCCECCAEEEECBBBBBBBBBBEEBBBCCCCCCCCCCCCC;1;AEABEDEABEBCBEECCBDEDEADADBDCDCDABCDDAABDBCBD;AABBEAADEADBABCEDBDADDEECECCEADECBDBACBCABCCE;CDACAECAADBDCDCBCACAEBEDBCCDABDCBEBCECABDEBDADDBCB;DCDADDCCECADEAEADBEDBBDACEDCBCBBCEAECABABDECB;7;120;120;100;120;80;540;I;B;B;2;D;B;A;A;D;D;A;A;A;D;D;A;D;D;D;D;A;A;0;5;;5;4;5;4;B;A;A;B;A;A;A;A;B;A;16;D;5;5;5;5;5;B;B;B;B;A;B;A;;;;;;;;;;;;;;;;;;;;;;;
140000001190;2014;5;F;0;3;1;2;;1;1;2927408;SALVADOR;29;BA;2;1;1;1;INSTITUTO FEDERAL DA BAHIA - CAMPUS SALVADOR;29;BA;2927408;SALVADOR;29;BA;0;0;0;0;199;195;203;207;;;;;.............................................;.............................................;.............................................;.............................................;0;;;;;6;0;0;0;0;0;0;D;D;B;5;D;B;B;A;A;A;D;A;A;D;A;C;A;A;D;A;A;B;4;4;;5;0;5;5;A;A;A;E;B;A;A;A;A;A;17;C;5;2;5;5;5;B;B;B;B;A;B;B;B;;;;;;;;;;B;;;;;;;;;;;;
140000001191;2014;13;M;1;1;1;1;2004;1;1;;;;;;;;;;;;3302007;ITAGUAI;33;RJ;1;1;1;1;199;195;204;208;472.5;590.3;548.3;402.6;ADADAACAABEACCCECDEEBDCDBABAACCACEAABCCDCABEC;EDABEDADEDAEBBEDBCCEAEBCCEAEBACDEEABCCDADCAAA;BACBCBAADBCEACDAAEACBEACBDCDCDCEEABADBCDCBCBA;DECADCBBAEEDCDACDCBACECDBABEABEBCCBACBDACBDCB;1;ADBDDADABCDCBDCBEECABAEEDEADDBCBDBEBABEDEACDC;ECBDADADECAABBECBCCEADBABDEECAADECEDCEBDBABCA;ACACDDECAABDADDDCDCDABEBCBCBECACAEBDEBABEDBCDCBCBC;CECACBCABABDBDADCDAEAECBBCAEADBEDBECBDECEDDDC;7;120;40;40;120;20;340;B;B;G;4;B;B;B;A;D;A;A;A;A;D;A;C;A;D;D;D;A;A;5;5;;2;2;5;0;D;A;A;C;B;A;A;B;B;B;15;E;5;5;0;5;5;A;A;A;B;A;B;A;;;;;;;;;;;;;;;;;;;;;;;
