NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025;Q026;Q027
170003335790;2017;12;F;1;3;1;1;11;1;;0;;;;;;;;5208707;Goiânia;52;GO;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;B;C;B;C;5;E;A;B;D;A;A;B;A;A;A;B;A;A;B;A;A;B;A;A;A;A;A
170001664245;2017;8;M;1;1;1;1;5;1;;0;;;;;;;;3550308;São Paulo;35;SP;1;1;1;1;393;396;400;406;491.1;537.8;546.2;457.9;CBADBEDCEBEBCACEBCACDBEDBCDCBEABCDEACADDBBCAC;DCADDACADCEDABCDBEBDACDCEDAADDCBCBEDBACBEDDDC;CDEDD99999CBBBDAECAEDAEDDDBEAEEDABDDCBAADCBCEABBEC;CEBABDCAEDBADEAADDBADBECEAECBDDAECDCDBADBEDBC;0;CCDACDEEAAEABCDAAECDCBADECDEEBDACBEDDBCBBEBAA;CDEAEECAEBDBDBBAECDAEBCCCDAEBEABDBEDAADBCDDEC;EDDCDBEEDECCEBDAEDAEDAABEDBBADEDEDDABAABBDCBEABBCC;EECDCCECBDBBDBAEBADBECBDDABDEDEAADCCDAEACBBAC;1;140;100;80;100;60;480;B;B;C;B;4;E;A;B;D;B;A;B;A;B;A;B;A;A;C;A;A;C;B;B;B;A;A
170001664246;2017;5;F;1;1;1;1;3;1;;0;;;;;;;;4106902;Curitiba;41;PR;1;1;1;1;391;395;399;403;558.2;585;586.4;552.7;BEEEAAEADBEBCABDBEADBECEACEADDCCDBEDCDBABBEAD;BDBDCADEDEBABEDAACAEEDEEBABEDEDBACACAEBEAADDC;DDADE99999BDBEEAABCDCDBBAADEABABBEDEADBAEACCAADDAB;DBCAACDCBEABBCDDECABECEDBDCCADBDAACEABCADEACA;0;DEEBDABCBBEDDCBABCADECEBAADAAECDCBCCDACDEEAAE;CDDECADBEABDBEDAECAEBDAEBAEDBDBBAECDAEBCCCCDE;DDCDEEDBEEBDAEDAABCECDAEBADEDEDBBBDEABBCCABAAEDDCB;ADBCCECBBDBAEBBDDDABDCCDEDECBEACDAEAABBACEECD;1;140;120;120;120;40;540;D;E;C;B;6;J;A;C;E;C;B;C;C;B;A;B;A;B;D;A;B;E;B;C;B;A;A
170001664247;2017;6;F;1;3;1;1;4;1;;0;;;;;;;;2101202;Bacabal;21;MA;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;E;C;B;B;2;B;A;B;C;A;A;B;B;A;A;A;A;A;C;A;A;C;A;A;A;A;A
170001664249;2017;12;M;2;2;1;1;11;1;;0;;;;;;;;3509502;Campinas;35;SP;1;1;1;1;391;398;401;403;558.1;614.6;492;489;BDBBCBBABBEECCEEEBADEBACCCBBDCCBACBECCBBDEBCE;CDCAEABDBEDDCDACCADDDCDBEACAAEADDEEABBAECBBED;AAEAD99999CCAEEAAADEBBDEDABAEBAEDDAEDEEDEBAABCCBED;ACAAECACADDAEAAAEEABBBBEADCBBDBCABCCCACABCAAA;0;DEEBDABCBBEDDCBABCADECEBAADAAECDCBCCDACDEEAAE;DAEBEABDBEDACDDECADBCCCAECDEECAEBDBDBBAECDAEB;DEDCDBEEDEECABAAEDDCBDEDBAEABBBDEDBBCCDAEBCAABDAED;ADBCCECBBDBAEBBDDDABDCCDEDECBEACDAEAABBACEECD;1;120;140;120;120;60;560;C;E;C;B;4;D;A;C;D;B;A;B;B;B;A;B;A;A;C;A;A;D;B;B;B;A;A
170001664248;2017;15;M;2;3;1;1;1;1;;0;;;;;;;;3550308;São Paulo;35;SP;1;1;1;1;393;398;401;406;621.4;656.4;614.5;721.6;CDCADDEEEDEABEBDEECABDAADCDBCBBADEEDCBABBCEAC;BCEAEABCBBCACDEECADEDCCAECECECAECEBEABAECDBED;DBDED99999ECABDADDDCBDEDEAEADBDDEDBBAEEAEACABBDBED;EECACAEBBECDBDAEDDBABDBDDABDDABBCBCEDAEDDBDEE;0;CCDACDEEAAEABCDAAECDCBADECDEEBDACBEDDBCBBEBAA;DAEBEABDBEDACDDECADBCCCAECDEECAEBDBDBBAECDAEB;DEDCDBEEDEECABAAEDDCBDEDBAEABBBDEDBBCCDAEBCAABDAED;EECDCCECBDBBDBAEBADBECBDDABDEDEAADCCDAEACBBAC;1;140;120;160;160;80;660;C;C;C;C;2;G;A;B;B;A;B;B;B;A;A;A;A;B;B;B;B;C;B;B;B;A;A
170001664251;2017;8;M;1;1;2;1;6;1;;0;;;;;;;;2516300;Sumé;25;PB;1;1;1;1;393;398;401;406;474.2;537.9;524.4;383.5;EBACBCCABBDECAECDCCBECAEBBBADDDBCBEECBAEAEEBE;AAABDAAABBCBBECECAB*CCCBDABAAECEDBAABDEECDCAD;99999ADCCBECEBBEDDDAEDEBEAECEABDADBBBEDABBAEBCDBEC;EBCAAECAABDDEEABCAECCEBCACCDECCBDCDCCEAAECABC;1;CCDACDEEAAEABCDAAECDCBADECDEEBDACBEDDBCBBEBAA;DAEBEABDBEDACDDECADBCCCAECDEECAEBDBDBBAECDAEB;DEDCDBEEDEECABAAEDDCBDEDBAEABBBDEDBBCCDAEBCAABDAED;EECDCCECBDBBDBAEBADBECBDDABDEDEAADCCDAEACBBAC;1;80;40;40;80;20;260;B;B;A;B;5;D;A;B;D;B;A;B;A;B;A;B;A;A;B;B;A;D;A;B;B;A;A
170001664250;2017;9;M;1;1;1;1;4;1;;0;;;;;;;;2207702;Parnaíba;22;PI;1;1;1;1;391;396;400;403;538.4;571.9;552.9;481.4;CAABCADABBEEEBBCDBEDCEACABBDEDDDDDCDBADCAAADD;DEEAEAEAEAEBDCDACBBBEADACEBBDEAACBEAACDECCCEB;EDEBD99999CBCBDBEEABCAACEDBEEBEDDDDDEBABEADEEABBCE;BCCCEEBCEABADCECBAABBBDAACBDABEABDECEADBCADCA;0;DEEBDABCBBEDDCBABCADECEBAADAAECDCBCCDACDEEAAE;CDEAEECAEBDBDBBAECDAEBCCCDAEBEABDBEDAADBCDDEC;EDDCDBEEDECCEBDAEDAEDAABEDBBADEDEDDABAABBDCBEABBCC;ADBCCECBBDBAEBBDDDABDCCDEDECBEACDAEAABBACEECD;6;0;0;0;0;0;0;E;E;B;B;4;C;A;C;C;B;B;B;A;C;A;B;A;A;C;B;A;E;B;D;B;A;B
170001663689;2017;4;F;1;3;1;1;2;1;;0;;;;;;;;1500800;Ananindeua;15;PA;1;1;1;1;394;397;402;405;554.9;491.2;526.8;532.4;BECDEDAAAACEAEDDDDBCDAACBDECBECACBCEEDCADEDCB;ACACEEDCEBAABDDADAAAADADCDEAAACECDBBABEAADEAA;99999EDBDDDDE*DEEAACCABBDDBEEBAEDAABACDBEBEAAADDAE;CACCEBCCECCBDCABCCBEECEACCBBBCCCECCCCCCABCCAC;1;EEAAECDCCDADAADECDCBCDAAEDEEBABCEDDCBEBAABCBB;ECAEBCDDECADBEABDDBDBDAEBCCCCDEAEDAEBBEDABAEC;DDCDEEDBEECEBADEDEABEDBBBDBCCABAAAABCBDAEDEDDBCDAE;BBDBADBEECDCCECAEBBDDEDDCCBBACADAEACEADABDECB;1;140;140;120;120;120;640;H;E;F;D;5;H;A;B;C;B;A;B;B;B;A;A;A;A;B;A;A;E;B;A;B;A;D
170003333563;2017;4;F;1;3;2;1;1;1;;0;;;;;;;;3526902;Limeira;35;SP;1;1;1;1;392;396;400;404;560.3;610.4;545.5;516;BADDEBACADAABAEADBAADECCECAEAEBCDCAECDCBDABAC;EECAEEABEBDEEEAACCEAABDCCDACDCADDBBDDADEADADC;CEDBB99999CCDBEAEABECAADCBBECDEBABDABAABEDCEBDEBAC;CDCCCABACDBDECAEECBEDAABDEBCDCACCDBACCDAABBAC;0;BCBBEBAAEDDCBDADEEBADECDCBCDAAEABCEEAAECDCCDA;CDEAEECAEBDBDBBAECDAEBCCCDAEBEABDBEDAADBCDDEC;EDDCDBEEDECCEBDAEDAEDAABEDBBADEDEDDABAABBDCBEABBCC;CCECEECDADBBDBBDBAEBDDABECBDCCDEDBBACAEADAEAC;1;140;120;140;160;120;680;C;C;A;F;1;C;A;B;C;A;B;B;A;B;B;B;A;A;B;A;A;B;A;A;A;A;A
