NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;IN_CERTIFICADO;NO_ENTIDADE_CERTIFICACAO;CO_UF_ENTIDADE_CERTIFICACAO;SG_UF_ENTIDADE_CERTIFICACAO;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025;Q026;Q027;Q028;Q029;Q030;Q031;Q032;Q033;Q034;Q035;Q036;Q037;Q038;Q039;Q040;Q041;Q042;Q043;Q044;Q045;Q046;Q047;Q048;Q049;Q050
160000401692;2016;11;F;1;3;1;1;9;1;;0;;;;;;;;0;;;;4315602;Rio Grande;43;RS;1;1;1;1;291;295;300;304;386.1;548.1;519.6;554.5;EBCADECDABADEACCBBAACEDAECBAADEDADABEBACBAEDB;EAEACADDEEBBDCDCADBDEEACBBCAEBEADCADDCBCACBBD;ECAAA99999DAEEECBCABBDDEDCDDBAABDCACEBEECACCADCDBA;CABCDAEBACCBDEAEBCDDDCABBBECADADCBADCAECADDEE;0;BCADBCEDCCBADBDCADBEBDBEADCCAEACDBEDBCACAEBEE;BCBCCADCCBEDDBEEADBDCECCBBECAEEDDADCDDACAADBA;DECEACCEBBDADEBABEAAEDCBCABDCEBADCEBAAECBBCBDABEBB;CBAACCEABDDCDBDDCEAECADBECEBACBDABDBEBCDADCEE;1;160;120;140;140;160;720;A;A;C;B;2;D;A;B;C;A;A;B;A;B;A;B;A;A;B;B;B;C;A;B;B;B;F;A;1;2;5;5;5;5;5;0;5;0;5;5;;A;A;A;A;A;A;A;A;A
160000401693;2016;4;F;0;1;1;1;1;1;;0;;;;;;;;0;;;;3549904;São José dos Campos;35;SP;1;1;1;1;292;296;300;304;430.1;466.9;577.3;383.6;DAACEAADCEDCBBDABADDBEBBACADADCDACCAADCACEBED;BBCBEEEBCBDEBAAADABBCAAADBBCAEDDACEBAEBBDDCEA;DEBED99999BAEEBCBDACEDABCECBCCCDBDECCAACDACDDDEBBB;ACDDACBBBDECEECCADEECCBCBDDCEDAECDBDCDBAADEBD;0;DBDCCACADBADBCABDEBEECECDDBCADCCBEBBEDBEAEACA;EEBCBCEDDBDDACCCBCADADBAADEDDADCECAECBBBADCEC;DECEACCEBBDADEBABEAAEDCBCABDCEBADCEBAAECBBCBDABEBB;CBAACCEABDDCDBDDCEAECADBECEBACBDABDBEBCDADCEE;1;120;140;120;120;0;500;B;D;A;B;4;B;A;B;C;A;A;B;A;A;A;B;A;A;C;A;A;C;B;B;B;B;B;A;4;0;5;5;3;5;5;0;5;5;5;5;;A;A;A;A;A;A;A;A;A
160000401694;2016;9;F;0;1;1;1;7;1;;0;;;;;;;;0;;;;3106200;Belo Horizonte;31;MG;1;1;1;1;292;296;301;305;657.4;677.1;658.1;678.5;BBDDCACBAADDBCABDEBEECCCCCDCAABCAECDEDBACEBCC;DEEABCBBDBCDACCEBAADBDDAADEEDAACEDAECABAADCEC;99999BBBCCDAAACABACDDEBCAEEEEAABAEEAEBBADAECAACABD;CEEBBBCE.AAE.DDECBCEECDBCBDDCDDAAABBDAABECDDB;1;DBDCCACADBADBCABDEBEECECDDBCADCCBEBBEDBEAEACA;EEBCBCEDDBDDACCCBCADADBAADEDDADCECAECBBBADCEC;EECDABBECCDAAECBBCBDABBAAEEBBDCBADEBABEADCECEBCABD;CCEEBCCEBAABDDECADCEECDBCBDBECBADDACEAABDBDAD;1;160;180;160;160;140;800;D;F;C;D;1;D;A;C;D;A;A;A;A;B;A;B;A;A;B;A;B;B;B;B;B;C;E;D;0;5;5;5;5;5;5;0;0;0;0;5;5;A;A;A;A;A;E;A;A;A
160000401695;2016;2;M;0;1;1;2;0;3;1;0;4106902;Curitiba;41;PR;4;1;1;0;;;;4106902;Curitiba;41;PR;1;1;1;1;292;296;302;306;653.4;619.6;626.4;752.1;CADDBACABBADDEACEBBEEDECCDBCCDADBECBDABAEEDCA;DEECBEEBCCBDADDCECADAEAADEECDAEBECADADBAADCEC;EDEAA99999DBBCCDCBCDBCBEAADACBDADAACAACDABDBABBAEE;CEECCBDBDEBBCBBABEACDCBDDBDBDEBEDDBCCECDAEACA;0;DBDCCACADBADBCABDEBEECECDDBCADCCBEBBEDBEAEACA;EEBCBCEDDBDDACCCBCADADBAADEDDADCECAECBBBADCEC;EDECACCBBEDEBBBDABCBBCCEBADCEBAAEAAEDCBCABDBABEADE;CEECDBDADEBCCEBABECEACBDABDBDDABDDECADCCEACBA;1;120;140;140;120;120;640;G;G;E;E;4;P;D;E;E;C;A;C;B;B;B;B;B;A;E;B;B;E;B;E;B;A;;;;;;;;5;3;5;4;4;1;5;;C;A;A;A;B;D;A;A;A
160000401696;2016;11;M;0;1;1;1;4;1;;0;;;;;;;;0;;;;3122306;Divinópolis;31;MG;1;1;1;1;351;356;362;367;458.7;507.1;427.4;502;DCECCDEBBDDEEECADEECDBBECAEDCEDDDEEABDBBDEDAD;EECEDCDBCADADBECBECAECBDDBEDBBBCEDEABEBDBCCAC;BDEDD99999BCBECEECDEECDECECBCEEBDDECBCDABBCDEBEBBE;BABCEBCEABBBBDCACECCABCEABBBCBDBAABDBDCAABCCC;0;AADCACCECACDEDXCCDCCAACBCBDEBEBACCAEBDEBBEDAB;DEBEEDDEBBBBABADEDCBECABDDEEEAABBCCBCABDDAEEC;CDDABBCDACDDDBCCECAECDAECADAEBACEEEBDABACDACCCACAE;BDDDBDEBBCEBCEACAACEEEEACEDCBADCCDCDCDBABBDBC;1;80;80;80;80;80;400;E;D;A;A;4;B;A;B;D;A;A;B;A;A;A;A;A;A;A;A;A;C;B;B;B;B;A;E;1;1;1;1;1;5;5;5;5;5;5;5;;B;B;B;A;A;B;A;A;A
160008576956;2016;6;F;0;3;1;1;2;1;;0;;;;;;;;0;;;;5300108;Brasília;53;DF;1;1;1;1;294;298;299;303;401.5;515.2;515.2;529;DBDBBCBBCCBCDCCBDDBCBCCBCBACABDDADBBCBBACACBC;BBCCBDBAACBCDAADBEBABDCEBAACCCBBBABABACBACBBD;99999BEEDDAEDBBBDBCADDDDAEDDCBBBBBCAACAEBDCCABCBDE;EABBABDCDDDAECDCCDBCABBEABBBCBBACBBDBAAECAEEC;1;EADBDCCBADBEBCEBCABDEBEEBECADDBEACACDDBCADCCA;EDDBDDACDCEDDACBBBCBCDCECADBEEBAAADECAECCBCAD;CEDEACCBEBDBABECABDADEADCEDCBEBBCEBAAEBAAECBBCBDAB;DADCCECBDECADCBACDBCEEABDDAABDBCEADDBECEBAEBC;1;120;100;100;120;40;480;A;H;B;B;5;B;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;A;A;A;A;C;H;C;5;5;3;5;5;5;5;4;5;5;5;5;5;A;A;A;A;A;A;B;B;B
160000401697;2016;3;F;0;1;1;1;1;1;;0;;;;;;;;0;;;;2911204;Gandu;29;BA;1;1;1;1;293;297;302;306;507.6;613.8;570.1;480.3;ABBEBABABAEDCACCCCDDCEADEBACABADAEBAACEACBEBD;DCEDBDAACCECECAAEAECDAEEBDDBDBDECBDECDDEBECEE;99999DAEBAECDBAECBCDBCCDAADADAEACDAADECCABABEBBAEE;CABBCBECCDAEABDAECBDCEBCEBADADAEBCDDAEACEBCDB;1;EBEECADBCABECDDBEADCCABDEABEBCADBADDCCCEDBBCA;DCECBAAADCBBECAEDCEDDACCBDDACEDDBADBCADBCBCEE;EDECACCBBEDEBBBDABCBBCCEBADCEBAAEAAEDCBCABDBABEADE;CEECDBDADEBCCEBABECEACBDABDBDDABDDECADCCEACBA;1;160;180;180;200;160;880;E;E;D;A;3;H;A;B;C;B;A;B;B;A;A;B;A;A;C;B;B;D;A;A;B;A;;;;;;;;5;5;3;3;4;5;4;;C;A;A;A;A;B;A;A;A
160000401698;2016;11;F;0;1;1;1;10;1;;0;;;;;;;;0;;;;4305108;Caxias do Sul;43;RS;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;B;G;F;D;3;H;A;C;D;A;A;B;B;B;A;B;A;A;C;B;B;C;B;C;B;B;F;E;4;4;5;5;5;5;5;0;0;0;5;3;;C;A;A;A;A;D;A;A;A
160000401699;2016;1;M;0;5;1;3;0;1;;1;;;;;;;;0;;;;2800308;Aracaju;28;SE;1;1;1;1;292;296;301;305;638.7;640.2;552.3;590.1;BEDCCCBABBADBCABDAEEEBEBBBDCAABBCECBEDDCCEBCB;ACCCBABBDABDABCDBCBDBBBAADEADADCCEAECEBBADCEE;EECDA99999BAABCDEDAAEACCDDEEAAACABBAECBCEEEBACDAAD;EAAABDACBACCCCDCEDEBDBDACADBCCCABBCDBDBABADED;0;DBDCCACADBADBCABDEBEECECDDBCADCCBEBBEDBEAEACA;EEBCBCEDDBDDACCCBCADADBAADEDDADCECAECBBBADCEC;EECDABBECCDAAECBBCBDABBAAEEBBDCBADEBABEADCECEBCABD;CCEEBCCEBAABDDECADCEECDBCBDBECBADDACEAABDBDAD;1;160;200;200;180;160;900;G;F;E;B;3;N;B;E;E;E;A;B;B;B;A;B;A;B;E;B;B;E;B;D;B;A;;;;;;;;5;1;4;1;0;0;5;;A;A;A;A;B;A;A;A;A
160000401700;2016;3;F;0;1;1;1;1;1;;0;;;;;;;;0;;;;3550308;São Paulo;35;SP;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;B;B;F;C;3;C;A;C;D;A;A;B;B;B;A;B;A;A;C;A;B;A;B;B;B;B;D;C;3;0;3;5;4;4;5;5;5;2;4;5;;A;A;A;A;A;A;A;B;A
