NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025
190001130920;2019;11;F;1;3;1;3;0;1;;1;;;;;;;;2308401;Missão Velha;23;CE;1;1;1;1;506;509;514;517;359.4;397.4;383.8;500.2;EBCEDCCDDCAEDCADDDABAECBCBCBDBBAEDAEEBABACAAC;BBABAABBDCDEAABEBABEABBABAEDCBDACDECCABBCBBAA;99999ADEABABDBDECAAADBABBBACCADCAACAAEAAAEBCCEACBE;DEDDCCBAEEBCDCBCDEBCCDCDCDBEACDADDCDBDCCCCECC;1;DEADBAAAEBEECEBCBCBCBDADAEABCEDDDDADCBEECACBC;ACACEEBCCBABADBBBACDBBACCCCADCEBADCBEEDBBEADB;EBBADCABDABACBCEBDEEAAADDBECDECDDBADBCDAAECBCCAECB;AADDDBEEEBEDDBEBACABCDBABECECACAECDCBDCCEDCDA;1;120;60;60;80;0;320;E;E;A;B;3;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;B;A;B;B
190001024996;2019;2;F;1;1;1;2;0;2;1;0;1100189;Pimenta Bueno;11;RO;2;2;1;1100288;Rolim de Moura;11;RO;1;1;1;1;503;508;512;515;501.2;460;514.6;501.9;CEDCBCEDABCBCDDCBEEEDDBDEEEDBBDEBCBBCABCDBEAA;DAAEEDBECCCBAECAACECBCBAAAAEECACBECEDDEAECDBC;99999EDCDBBCBBEECDECCCEEEEAABDEAEBCBADAAEBADCAEDDD;ACBEECCBABCDCDABBCCBDABCADEECCACCDEBBCEDCBCAB;1;AAECACDEADCBCDDDBCBDADAEABCEBABEEBCBEECEBDADC;CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC;BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD;EEEADBEBACABCDBABECECACDCBDCCEDCDABEDECDDDBAA;1;140;180;140;120;140;720;E;E;D;D;4;F;A;B;D;B;B;B;B;B;A;A;A;A;B;A;A;C;A;B;B
190002040906;2019;14;F;1;3;1;1;13;1;1;0;;;;;;;;5300108;Brasília;53;DF;1;1;1;1;503;509;514;515;391.6;450.6;450.6;407.5;DCBACEEDDEDCDDBCBECACEDDDDCBAEBDACABDBBCDEECC;DEACCEBDEACBCADDABBBDEEACDBABEDDACEDCEDCEDCBD;99999EDCBEBBCDCBDBEBADCCBDACDCEBABCEDEEEDACDDEDEDE;DCABBEBCBEDECDEBCDCECEBEAECEAECAEEDAACECCBDDD;1;AAECACDEADCBCDDDBCBDADAEABCEBABEEBCBEECEBDADC;ACACEEBCCBABADBBBACDBBACCCCADCEBADCBEEDBBEADB;EBBADCABDABACBCEBDEEAAADDBECDECDDBADBCDAAECBCCAECB;EEEADBEBACABCDBABECECACDCBDCCEDCDABEDECDDDBAA;1;120;40;40;100;40;340;A;B;C;B;4;C;A;B;C;A;A;B;A;A;A;B;A;A;B;A;A;C;B;A;A
190001024997;2019;7;F;0;1;1;1;1;1;;0;;;;;;;;1100205;Porto Velho;11;RO;1;1;1;1;505;509;514;518;415.2;566.2;513.8;512.5;ACAACADDAEDBDCCDBEBBBAACBBCCABBADDECDDEDDAACD;ECACAEBCABADADAEBCCEBBDECEDAEBCABBCBBEDAEAABD;99999ECBEAABEECBEBEBACADBAABDDCDDBEACCAACDECEADECC;DCCCAABEBDBBBBABEBCAADBDABCBEDEEBEECCDBCBEEDA;1;DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE;ACACEEBCCBABADBBBACDBBACCCCADCEBADCBEEDBBEADB;EBBADCABDABACBCEBDEEAAADDBECDECDDBADBCDAAECBCCAECB;DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB;1;140;100;120;120;20;500;F;D;D;B;3;D;A;B;B;B;A;B;B;B;A;B;A;A;B;A;A;C;A;A;B
190002040907;2019;3;M;1;3;1;2;0;2;1;0;5300108;Brasília;53;DF;2;1;1;5300108;Brasília;53;DF;1;1;1;1;505;509;514;518;449.2;483;489;423.2;BADCADEABDECABCAADDDBAEBCCABABDDBEECDEDDACBED;AEABEABCDBEEEABAEABABCDACEBDEBABADCACCBACDCAE;99999CCAAEBDDCDACABDAAEDCBEBBBCADBEEADAACEBCCEAEBC;ACECAECDBBBDBCDBAEABADECBDCBBACAEDBCAACDBEEED;1;DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE;ACACEEBCCBABADBBBACDBBACCCCADCEBADCBEEDBBEADB;EBBADCABDABACBCEBDEEAAADDBECDECDDBADBCDAAECBCCAECB;DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB;1;120;120;120;120;20;500;D;B;B;B;5;C;B;C;C;B;A;B;B;B;A;B;A;A;B;A;A;C;B;A;B
190001199408;2019;14;F;2;1;1;1;13;1;;0;;;;;;;;1721000;Palmas;17;TO;1;1;1;1;506;510;513;517;517.5;339.5;419.7;412.3;DEEAEADACABDAEECCBBB*AAEBDACCDCBCABDADADCABAD;BBEDABAEDAEAEEDDABEABCDACEEEEEAACBCEDCBBCBABD;99999DABBDCEABB*AEDCACAEDBDABBECCCDAEDCEADAEEDBCAC;EAAABDBDBAAEBDDDCCDDABAECEEEDBAEABCDECACBACDE;1;DEADBAAAEBEECEBCBCBCBDADAEABCEDDDDADCBEECACBC;EEBCEEDBADBBCBABCCADCEBACDBBACCACACBEADBBADCB;ADBBEDCABAABBCBCDAAECDDDBAAAECADECDCEBDEEAECBDBBCC;AADDDBEEEBEDDBEBACABCDBABECECACAECDCBDCCEDCDA;1;100;80;60;100;80;420;B;B;A;A;4;E;A;C;C;A;B;B;A;B;A;A;A;A;C;A;B;D;A;B;B
190001245010;2019;2;F;1;1;1;3;0;1;;1;;;;;;;;3136702;Juiz de Fora;31;MG;1;1;1;1;505;507;511;518;600.1;577.4;578.9;713.7;BBDCCECABCACDCEBAEBACBCBEEEBBBBCBBEAAADEDDCEC;EABCCBAAAABCAAECEACACACABDBEEAEBEAAECDAEAABCB;99999ABCAEDCBABCADEBDAAEBEEEBEDCACCDEDDAADDDEDDCCA;DDCBBBABCEEDCEAEEEBCABECEDDEAEACAAADDCDEEADEB;1;DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE;BACCCBABBADCBCEEEBCACACEEDBCCADBEADBADBBBACDB;BDABEABCADBCBAADDBECDAAECDAECBECBCCDEEAAADDBBCDCEB;DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB;1;160;200;160;200;160;880;C;D;C;B;4;C;A;B;D;B;A;B;A;B;A;B;A;B;B;A;A;D;A;B;B
190001215221;2019;12;F;0;3;1;1;5;1;;0;;;;;;;;2112209;Timon;21;MA;1;1;1;1;506;507;511;517;483.6;473.8;539.7;446.9;BBDBEBADDEAEBDEBCCBBEBBADEACDEABCADDACDEDECDD;ECDAAAAEEAABECACECDEDAEAEADCBEDADABEACBADBBDE;ABABE99999BABABADAAEDAEECDBAACBCDCACEBACADCDBACDAB;CBAACCECBDBBAACCAECEADEBADAABAAACACEBCDCACEBB;0;DEADBAAAEBEECEBCBCBCBDADAEABCEDDDDADCBEECACBC;BACCCBABBADCBCEEEBCACACEEDBCCADBEADBADBBBACDB;BDABEABCADBCBAADDBECDAAECDAECBECBCCDEEAAADDBBCDCEB;AADDDBEEEBEDDBEBACABCDBABECECACAECDCBDCCEDCDA;1;120;120;100;120;20;480;B;C;B;B;3;B;A;B;B;A;B;B;A;A;A;A;A;A;A;A;A;B;A;A;A
190001613126;2019;5;F;1;1;1;1;3;1;1;0;;;;;;;;3521804;Itaí;35;SP;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;B;E;C;F;6;E;A;B;D;A;A;B;A;B;B;B;A;A;B;B;A;D;A;B;B
190001432383;2019;11;F;2;3;1;1;8;1;1;0;;;;;;;;2927408;Salvador;29;BA;1;1;1;1;505;508;512;518;576;615.2;590;623.9;ABDBDABCECBCDCCABEBBDCBDBACEEBDCBDDCEEDEDDACE;EBCBADBECEEABCBACCBEEDBCAECEEAACBEABAECABACCC;99999BDCAACCADDECEECCADCDEDABCEAEBAAADDEECEECACBCA;DCBCCACDCDBAEEAECACCABEBECCEADACEACDCDBEDECED;1;DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE;CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC;BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD;DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB;1;120;180;120;120;60;600;D;E;C;B;2;C;A;B;B;A;A;B;A;B;A;B;A;A;B;B;A;C;A;B;B
190001524218;2019;12;F;1;3;1;1;1;1;;0;;;;;;;;3302700;Maricá;33;RJ;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;H;A;C;B;3;B;A;B;C;A;A;B;A;B;A;A;A;A;B;A;A;B;A;A;B
