NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025
210053865474;2021;5;F;1;1;1;1;3;1;;0;;;;;;;;3144805;Nova Lima;31;MG;0;1;1;0;;881;892;;;574.6;472.6;;;BBCCECEABCEABADDAAEECBEBADADAAABABBABBACCCBBB;99999BADDEAEBACADADDAEABCEECDDBBAEADEDEABADBBAAECE;;1;;BEECCAEABADBCAEBAAEEDDEBBBADBCBAAEEBBBADCCBBA;ABBACAAECACDBDDADEBDDCBDCEDBEDDBBBBDCEEAADABACACDC;;1;140;120;120;180;200;760;F;F;B;B;3;D;A;B;C;B;A;B;A;B;A;A;A;A;B;A;A;B;A;B;B
210052384164;2021;12;M;1;1;1;1;11;1;;0;;;;;;;;2704302;Maceió;27;AL;1;1;1;1;912;882;891;901;505.9;551.8;498.3;461.5;DCBCCBDBCCCCCCDDCDCCCACCABCCECCCCAADCCCBBCADE;ECCDAAEBCDACBDBDECABBEAACBCBCCCDACEABEBEBACAE;99999ACECCEEBACDABACBECBBCDBDEBDDCCCDECCDDCCCCDBCE;CDCCBCCCDCCCCBEACEECAEABECCCDCBBCABACDAEDCCEC;1;DABCEDEBEEBBCABEDDCBCBECDADCDAACBDCCCDBBBEBAB;EBAAEADBCACBBABEECBAAEEBBBADCBADBCEDDEBBCAEAB;ACABBACAEADCEADABDACDCEABDDADBEDDDEBBACCDDDCCEBBBB;DCCAEBABDDCABEECCBCCEXADDCEECDEBADCABBDBDEDCE;1;120;120;120;120;80;560;B;B;B;B;3;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;A
210052589243;2021;13;F;3;1;1;1;15;1;;0;;;;;;;;3515707;Ferraz de Vasconcelos;35;SP;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;B;C;C;B;3;C;A;B;B;A;A;B;B;A;A;B;A;A;B;A;A;C;B;B;B
210052128335;2021;3;M;1;3;1;2;0;2;1;0;2304202;Crato;23;CE;2;1;1;2304202;Crato;23;CE;1;1;1;1;911;880;890;902;580.7;678.9;638.9;659.5;CCABBDAEDBEBEDDCAAABBDAADBDCACACEDAABCEABAEBC;CBBDABAABBAAEECEBAADADBEBCAEEBEDDEBBBADBCBEDC;ABBCA99999CDECCCBADCDBCEAEBBAAEADEEADDACAEDDABCEBD;EACDCEACDDDDCBDDCABADAEBACDCDDEDBBCDBECACCCCA;0;CDBBBCABEDEDEAAEBACCCBDABCDCBCBDECDADCDBBEEBB;BBBAAEECBBABEECEBAAEADBCACAEABEDDEBBBADBCBADC;ABBCAEAACADDCACDCADABBBBDEBBACEADCEBDDACEEDDDBCDBD;ECCCABBDBDDDCEDDCABXEEEBABEDCEDCCAEBADBCCECDA;1;120;180;120;200;160;780;B;B;B;B;6;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;B;A;B;B
210051353021;2021;2;F;1;3;1;2;0;2;1;0;2311603;Redenção;23;CE;2;1;1;2300150;Acarape;23;CE;1;1;1;1;912;882;891;901;497.7;532.4;457.6;582.6;BABCDCCBEBCD.DEDCABCBDEDAABEDADBDBCDECCAEDBCB;CAE.ACDCAAEBBEDEBCADADEDADAACEBDABBCEABBCDEAC;99999EAACBDCBECCABADBEDADCDADDCDDECABAADEBBDACBCEE;ACEDEBECABDABDEECBDEEADDDDBEBCEADCCADCADEDCEB;1;DABCEDEBEEBBCABEDDCBCBECDADCDAACBDCCCDBBBEBAB;EBAAEADBCACBBABEECBAAEEBBBADCBADBCEDDEBBCAEAB;ACABBACAEADCEADABDACDCEABDDADBEDDDEBBACCDDDCCEBBBB;DCCAEBABDDCABEECCBCCEXADDCEECDEBADCABBDBDEDCE;1;120;140;160;180;180;780;D;E;F;D;4;C;A;B;C;A;A;B;A;B;A;B;A;A;B;A;B;E;A;B;B
210052391248;2021;10;F;1;3;1;1;9;1;;0;;;;;;;;2303501;Cascavel;23;CE;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;H;E;F;B;1;B;A;B;B;A;A;B;A;A;A;A;A;A;A;A;A;B;A;A;B
210052615524;2021;9;F;0;3;1;1;6;1;;0;;;;;;;;4321600;Tramandaí;43;RS;0;1;1;0;;881;892;;;511.9;420.4;;;BBDDABEBACCBBAECEBABAEEBEDBAEBADAEEDAEDDCABBE;99999ADCCEDDADCDECCBAAAEDEACADBDABEEBDAAECDDAEDEDB;;1;;BEECCAEABADBCAEBAAEEDDEBBBADBCBAAEEBBBADCCBBA;ABBACAAECACDBDDADEBDDCBDCEDBEDDBBBBDCEEAADABACACDC;;1;100;120;100;120;40;480;B;C;B;B;3;C;A;B;D;A;A;B;B;B;A;B;A;A;B;B;A;C;A;A;B
210054368957;2021;4;F;1;1;1;1;1;1;;0;;;;;;;;3529302;Matão;35;SP;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;E;G;C;D;4;G;A;C;C;B;A;B;A;B;A;B;A;A;C;B;A;D;B;B;B
210053417016;2021;8;F;1;3;1;2;0;2;;0;;;;;;;;3106200;Belo Horizonte;31;MG;1;1;1;1;910;879;889;900;487.4;476.5;450.7;493.4;BBBDCCBDCCEDBBBCACEBCDADEEADCDEBEDDEBBEBEEECB;BDBCDAAEEBEAABEDEBAACCCCBABCCAAEBBCABAEAEDEDA;BADBB99999BDDEDAEEEDEDADEAEAEBAAECBCADADDCEDABABAB;CBBCCDDEEEBCBCAEBBEDEACBCABCAEBADCEABEEBCBCEA;0;ADCDCDBBBECDCCDCBCBDABCAADCBEBABEEBBBCABEDEDE;BADCBADBCEDDEBBADBCABEECCAEABEBAAECBBABAAEEBB;CAABBCAEAABDCDEADCEDBEDDDABBBBDEBCEADABDBACACDCDDC;DDCABDCCAEDCEBBDBDAEEBADCAECDBCCCCDDCEEBABXEE;1;120;120;80;100;100;520;B;B;B;B;2;B;A;B;C;A;A;B;A;A;A;B;A;A;B;A;A;B;A;A;B
210051128744;2021;4;F;1;3;1;2;0;2;1;0;;;;;;;;2927200;Ruy Barbosa;29;BA;1;1;1;1;909;881;892;899;507.6;539.2;494.6;413.3;BAEDEBDECCEAEDDCBDEDAEECEEEDBDECBDCECBCCDABED;EEEBAABCBCDBEAEBEACEDDEDECACBDBCDACECDAECBCBD;99999ACAEEEEBDEACDACDEABCEABBDEDBAEEBDEEACDBACEECC;BACEACDACBAAAEDCECABBACDCDBBA.CEABCDADADBECBE;1;EDECABEDABCBEBACCDCBBEEBBCBDAAECDCBDCDBBBADCD;BEECCAEABADBCAEBAAEEDDEBBBADBCBAAEEBBBADCCBBA;ABBACAAECACDBDDADEBDDCBDCEDBEDDBBBBDCEEAADABACACDC;EEXEBABDDCECCBCCECDCAEBADEABBDBDEDCEDCCADDCAB;1;80;120;80;80;20;380;D;D;D;B;2;B;A;B;B;A;A;B;B;C;A;B;A;B;C;B;A;C;A;A;B
